time,veh_id,type_id,vclass,lane_id,route_id,x,y,speed,angle
2.0,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,107.49302301845456,18.28922831532452,29.894337588304175,79.31758019472626
2.05,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,108.96592852016191,18.567068655904464,29.969680008045383,79.31758019472626
2.1,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,110.44229010201553,18.845560931373512,30.040001977748457,79.3175801947262
2.15,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,111.92321499530217,19.124914003411824,30.13285313708357,79.31758019472622
2.2,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,113.41018302119551,19.405407016892177,30.255814691819232,79.31758019472626
2.25,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,114.90269521333545,19.68694584969795,30.36862361820995,79.31758019472622
2.3,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,116.3988927604113,19.96917986645772,30.443610715492376,79.3175801947262
2.35,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,117.90042269707845,20.252419754224444,30.552110554446678,79.31758019472625
2.4,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,119.40775844635604,20.536754816767257,30.670243283206343,79.31758019472622
2.45,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,120.92035057727475,20.822081412618687,30.777196564052698,79.3175801947261
2.5,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,122.43651183060663,21.108081266996,30.84981864096711,79.31758019472616
2.55,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,123.95809959013081,21.395104745989336,30.960233500546288,79.31758019472622
2.6,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,125.48523023138085,21.68317380200355,31.07301629038176,79.31758019472622
2.65,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,127.01663477437799,21.972049062024503,31.159978738140754,79.31758019472622
2.7,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,128.5536335177888,22.261920714181834,31.273536626234392,79.31847122491197
2.75,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,130.0940784881732,22.552348555732017,31.343228911958843,79.3207833915036
2.8,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,131.6401972116571,22.843846098503505,31.45867201158658,79.32306658746054
2.85,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,133.190338799714,23.136102092175378,31.540524701956866,79.32306658746054
2.9,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,134.7462440353234,23.42944473532212,31.65779687206258,79.32306658746054
2.95,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,136.3056052066772,23.723438943424494,31.728114336966506,79.32306658746054
3.0,cav_2_0,vehicle.audi.tt,passenger,-2_2,highway_route,60.05469010998492,5.375495715003526,28.0,79.32306658746057
3.0,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,137.8692161648688,24.01823438522367,31.814584184475212,79.32306658746054
3.05,cav_2_0,vehicle.audi.tt,passenger,-2_2,highway_route,61.43608710643983,5.635937441723687,28.112387086829404,79.32306658746057
3.05,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,139.43638051797433,24.313699766446113,31.88688463813855,79.3230665874606
3.1,cav_2_0,vehicle.audi.tt,passenger,-2_2,highway_route,62.82206043189981,5.897241966778562,28.205518556463065,79.32306658746059
3.1,hdv_3_0,vehicle.audi.a2,passenger,-2_3,highway_route,141.0071217238888,24.609839509726804,31.95966238647114,79.32306658746054
