tick,time_s,decision,p_x,m_x,s_x,p_v,m_v,s_v,p_a,m_a,s_a,gap_ps,gap_pm,target_x_m_star,target_t_m_star,target_v_star
50,5.0,merge,76.15833787033725,64.8589295373751,50.639567257680916,8.290075712724992,5.32957472340059,2.1127957668974924,-1.5001417299360886,-1.2508036190911995,-0.9711148348281065,25.518770612656333,11.299408332962145,90.0,9.5,7.0
51,5.1000000000000005,merge,76.97999899218819,65.38584635684828,50.846265989795945,8.144678935515628,5.2108883069183385,2.0239234611998222,-1.4082092485831346,-1.123208352585265,-0.8064462200217832,26.13373300239224,11.59415263533991,90.0,9.600000000000001,7.0
52,5.2,merge,77.78750475553468,65.9014691372606,51.044850780813086,8.006238789662415,5.103078202062674,1.9500281802701862,-1.3600661704073322,-1.032560583530244,-0.6711053362586581,26.7426539747216,11.886035618274079,90.0,9.7,7.0
53,5.300000000000001,merge,78.58134565242159,66.4067108869949,51.236678808585864,7.870786508955358,5.00275093714979,1.8883594331333176,-1.347632688279572,-0.9729209573825492,-0.5614919386546546,27.344666843835725,12.174634765426688,90.0,9.8,7.0
54,5.4,merge,79.36165415277709,66.90217390696948,51.422849676483104,7.735115236602368,4.907075437170572,1.836511029006,-1.36373986900624,-0.9389739852286147,-0.4743173142866752,27.93880447629399,12.459480245807612,90.0,9.4,7.0
55,5.5,merge,80.12867517423851,67.38855136866523,51.604531687784345,7.6085149557815,4.824059895867387,1.8011042969268336,-1.1711425198788668,-0.7238017608119466,-0.23581089147020606,28.524143486454165,12.740123805573276,90.0,9.5,7.0
56,5.6000000000000005,merge,80.88385923063535,67.86758137595083,51.78376384062054,7.497022968567464,4.758946317468948,1.7865247629685492,-1.0597322060308816,-0.5794385424484644,-0.056655298748095634,29.100095390014815,13.016277854684517,90.0,9.600000000000001,7.0
57,5.7,merge,81.62833720883964,68.34072058902063,51.96234662171663,7.393294041060072,4.705264315571571,1.7872699185273009,-1.0142909219022633,-0.4938634260777136,0.07167912015613842,29.665990587123012,13.287616619819005,90.0,9.7,7.0
58,5.800000000000001,merge,82.36257849045597,68.80883646498665,52.14157152031896,7.291413149668498,4.657677923498077,1.7986485884373562,-1.0214098693983196,-0.4563930469604295,0.15689794423563064,30.22100697013701,13.553742025469319,90.0,9.8,7.0
59,5.9,merge,83.08652516935211,69.27231417858201,52.32229812489517,7.186721807125832,4.611856815192656,1.8167010298345039,-1.069345694045754,-0.457582801678269,0.20593257957652067,30.764227044456945,13.814210990770107,90.0,9.4,7.0
60,6.0,merge,83.80030028588324,69.73168555987027,52.50549638866424,7.093142428270085,4.58018438804371,1.8521404074679173,-0.8076044854791602,-0.18074818340014726,0.498514592619929,31.294803897218998,14.068614726012967,90.0,9.5,7.0
61,6.1000000000000005,merge,84.50580185273367,70.18907091134963,52.69352203443258,7.019091704864241,4.570178954962823,1.9115135200174258,-0.6754284669684865,-0.02136509418578794,0.6869751908185417,31.812279818301086,14.316730941384037,90.0,9.600000000000001,7.0
62,6.2,merge,85.20438150939206,70.64608881780022,52.888278830196214,6.952998309430202,4.57125930792882,1.9853306082279276,-0.6456235894679369,0.043433455162536855,0.7894567748114778,32.31610267919585,14.558292691591845,90.0,9.7,7.0
63,6.300000000000001,merge,85.89636356016837,71.10340918114099,53.09080877240926,6.885826424771843,4.574985000458987,2.0658115567316795,-0.6946224724206822,0.0336344697428765,0.8220350309339083,32.80555478775911,14.792954379027378,90.0,9.8,7.0
64,6.4,merge,86.58128093656117,71.56095329888541,53.30145296413246,6.81072934456689,4.574780368155365,2.1466866223023637,-0.8021619685165912,-0.03341655556128323,0.7988661142748972,33.27982797242871,15.020327637675763,90.0,9.9,7.0
65,6.5,merge,87.25807810815199,72.01806752310117,53.519993298620236,6.7227346047595065,4.565681976837223,2.2230117783592407,-0.9509750408676143,-0.14278564550907435,0.7323316717815631,33.738084809531756,15.240010585050825,90.0,9.5,7.0
66,6.6000000000000005,merge,87.92614236949998,72.4744798265522,53.74652729435928,6.643818828144492,4.567961913287265,2.3132041411951887,-0.6348396693499749,0.18112018855886336,1.0645214021566467,34.1796150751407,15.451662542947787,90.0,9.600000000000001,7.0
67,6.7,merge,88.5875579496365,72.93242088289259,53.98344360352711,6.5865323134413885,4.593205045576381,2.4278003541157314,-0.5124631770815314,0.32187197546729973,1.2252193922810193,34.6041143461094,15.655137066743919,90.0,9.7,7.0
68,6.800000000000001,merge,89.24360122070343,73.39334462466087,54.23238886106855,6.533939857661325,4.6252745267399185,2.551543476803681,-0.5360869817997012,0.32212835881066465,1.2515133306177413,35.011212359634875,15.850256596042556,90.0,9.8,7.0
